my_number,name,hiragana,rome,age,birthday,sex,blood_type,mail,tel,smart_phone,postal_code,address,company,credit,limited_term
102520665096,池田 昭光,いけだ あきみつ,Ikeda Akimitsu,60,1962/12/23,男,AB,akimitsuikeda_61919571@gmail.com,0228-77-7167,090-3537-3340,985-9951,宮城県仙台市青葉区中央1-3-9,合資会社マサル鉄工所,4262638103547230,03/24
723703669010,石川 泰一,いしかわ たいいち,Ishikawa Taiichi,24,1998/11/28,男,A,ishikawa_taiichi_87283399@hotmaill.com,045-252-4081,050-9259-7546,256-5212,神奈川県横須賀市根岸町1-2-5,有限会社ブレイン,4039538485841247,11/24
826501106580,信太 繁,しだ しげる,Shida Shigeru,21,2001/08/29,男,O,shidashigeru_31265051@hotmaill.com,03-9104-8567,070-6011-7493,159-1537,東京都台東区千束1-3-19,有限会社コーシン,5167448681471487,12/25
801825793170,神田 庸介,かんだ ようすけ,Kanda Yousuke,40,1982/12/09,男,A,yousuke_kanda_79006250@hotmaill.com,03-4843-1629,080-8059-0705,104-6966,東京都板橋区徳丸2-3-20,株式会社北斗,4415690932254674,01/27
367219811790,村上 知裕,むらかみ ともひろ,Murakami Tomohiro,49,1974/01/10,男,A,tomohiro_murakami_06969405@hotmaill.com,03-5563-1699,090-7477-1679,200-5143,東京都新宿区高田馬場3-1-3ハーティネス211,株式会社山商,5353574510590272,08/25
729386211043,廣瀬 恵里,ひろせ えり,Hirose Eri,33,1989/10/16,女,A,hiroseeri_99432117@hotmaill.com,06-9078-4528,080-6923-2775,564-8019,大阪府大阪市中央区高麗橋1-3-17メガロコープ305,株式会社ダイシン,5324928923845036,01/27
424715460119,河村 ゆかり,かわむら ゆかり,Kawamura Yukari,25,1998/02/22,女,O,yukarikawamura_84892875@gmail.com,0949-92-0790,090-6297-0433,805-6993,福岡県福岡市中央区薬院1-1-808,株式会社ベーシック,5164477356707605,12/24
253090601941,西澤 一美,にしざわ かずみ,Nishizawa Kazumi,34,1988/10/06,女,A,nishizawakazumi_29131724@hotmaill.com,03-7050-6765,050-0748-2546,126-7799,東京都足立区青井2-4-602,有限会社ベルウッド,5402046971648015,07/27
032243249367,中島 健介,なかじま けんすけ,Nakajima Kensuke,50,1972/09/19,男,A,kensukenakajima_42524757@yahoo.co.jp,03-2940-7933,080-1470-9521,197-7785,東京都台東区浅草橋2-2-4,合資会社すゞや商店,4189806961833881,03/23
086401206703,鈴木 新司,すずき しんじ,Suzuki Shinji,26,1996/12/05,男,B,suzuki_125_39097477@hotmaill.com,0137-35-4947,050-2600-3307,059-3047,北海道札幌市中央区南九条西1-3-4,株式会社アライズ,4672917290761638,10/24
123654059165,藤井 悠太,ふじい ゆうた,Fujii Yuuta,45,1977/10/31,男,A,fujii_1031_58125188@gmail.com,0158-17-4894,070-4108-2898,045-1541,北海道札幌市中央区南二条西1-2-10,前勝工業有限会社,4207595343020337,02/26
210409479515,黒住 和男,くろずみ かずお,Kurozumi Kazuo,58,1964/08/01,男,O,kazuokurozumi_10220581@hotmaill.com,0124-47-5813,050-3197-3794,092-6965,北海道旭川市大町二条3-2-4,合資会社アィビィシービル,4386259597709953,04/24
843247179752,藪田 雅彦,やぶた まさひこ,Yabuta Masahiko,41,1981/09/13,男,B,yabutamasahiko_39290585@hotmaill.com,0463-32-9324,080-8915-7408,245-5452,神奈川県横浜市鶴見区鶴見中央3-5-8,つるや商事有限会社,5320879410047962,02/25
629672910523,松永 匠,まつなが たくみ,Matsunaga Takumi,48,1974/04/08,男,AB,takumi_matsunaga_09203252@yahoo.co.jp,0567-04-7382,070-1338-3522,482-8056,愛知県名古屋市名東区一社3-4-16,有限会社グリーン企画,5374160369320469,02/25
874131340230,齊藤 敦士,さいとう あつし,Saito Atsushi,41,1981/10/12,男,A,atsushi_saito_40940534@yahoo.co.jp,03-9301-9801,070-2262-0114,182-4912,東京都渋谷区神宮前1-4-12,有限会社フジワラ,5229864187142388,09/25
799711235351,大城 尚人,おおしろ ひさと,Oshiro Hisato,23,1999/08/02,男,A,oshirohisato_38194475@hotmaill.com,03-3879-9610,090-4434-6537,207-2169,東京都新宿区西新宿3-1-3エンゼルクレッセ412,有限会社アイビー,4486174697601449,07/26
000772589220,黒田 里奈,くろだ りな,Kuroda Rina,25,1998/01/17,女,A,kuroda_117_24178691@hotmaill.com,044-172-4487,050-6082-3641,253-7122,神奈川県川崎市川崎区浅田1-2-8,,5142548166624193,03/26
721832577285,仲間 浩司,なかま ひろし,Nakama Hiroshi,45,1977/08/30,男,B,hiroshi_nakama_55407934@yahoo.co.jp,03-2030-0808,070-5545-3989,176-8965,東京都三鷹市下連雀3-3-17,株式会社SKT,5139442039484941,12/24
925029089608,飯島 祐子,いいじま ゆうこ,Iijima Yuuko,29,1993/05/25,女,A,yuukoiijima_81543762@yahoo.co.jp,09496-2-4745,080-5020-7194,806-4235,福岡県久留米市宮ノ陣1-2-13,株式会社山口工務店,5399220115821474,01/26
